FHE_zone,FHE_zone_num,Mean,SD,Max
Boreal,1,3.8,2.71,9.88
Sub-Boreal moist,2,4.4,1.09,6.01
Sub-Boreal dry,3,4.4,2.33,6.63
Dry Forest,4,3.6,1.62,7.5
