Surv,L95CL,U95CL,SE,SurvLSE,SurvHSE,Cohort
0.9,0.73,1,0.068877551,0.83,0.97,CMA
0.79,0.64,0.98,0.086734694,0.70,0.88,CFA
0.86,0.63,1,0.094387755,0.77,0.95,CMJ
0.6,0.29,1,0.181122449,0.42,0.78,CFJ
0.6,0.29,1,0.181122449,0.42,0.78,BMA
0.86,0.69,1,0.079081633,0.78,0.94,BFA
1,1,1,0,1.00,1.00,BMJ
0.54,0.26,1,0.18877551,0.35,0.73,BFJ
